TS Eel(kcal/mol)
27100000 -1348158.2755
27150000 -1347094.6152
27200000 -1348386.1684
27250000 -1348490.5407
27300000 -1346900.2602
27350000 -1346390.2106
27400000 -1346805.7942
27450000 -1347867.0599
27500000 -1345977.2958
27550000 -1347650.4225
27600000 -1347279.5628
27650000 -1347304.6833
27700000 -1346950.2440
27750000 -1346956.2490
27800000 -1346698.7253
27850000 -1346511.8857
27900000 -1346961.6773
27950000 -1348125.6798
28000000 -1347727.0257
28050000 -1347707.1603
28100000 -1347643.5752
28150000 -1347627.5378
28200000 -1347573.4120
28250000 -1348335.0301
28300000 -1347878.9644
28350000 -1347816.5726
28400000 -1347562.3944
28450000 -1347627.5280
28500000 -1346935.5270
28550000 -1347848.4044
28600000 -1347606.0290
28650000 -1348762.0635
28700000 -1347699.7600
28750000 -1346954.2587
28800000 -1346608.8691
28850000 -1346792.7691
28900000 -1348214.2152
28950000 -1347175.4485
29000000 -1348937.9015
29050000 -1347727.3193
29100000 -1347993.1860
29150000 -1348150.8144
29200000 -1347775.9148
29250000 -1347180.6147
29300000 -1348322.0486
29350000 -1347106.3718
29400000 -1347603.4714
29450000 -1348603.1487
29500000 -1348008.4915
29550000 -1346241.7077
29600000 -1348453.6742
29650000 -1347228.6289
29700000 -1345808.8457
29750000 -1346905.7601
29800000 -1347719.3950
29850000 -1346073.9347
29900000 -1349855.6166
29950000 -1347017.9027
30000000 -1348867.0113
30050000 -1348063.0418
30100000 -1347992.5351
30150000 -1346655.1820
30200000 -1347438.6793
30250000 -1346427.0805
30300000 -1347421.4451
30350000 -1345635.4598
30400000 -1347080.8377
30450000 -1347969.1736
30500000 -1347956.6351
30550000 -1349051.1342
30600000 -1348165.3024
30650000 -1347948.4700
30700000 -1347982.9200
30750000 -1348464.4204
30800000 -1346813.4959
30850000 -1346754.2223
30900000 -1348265.7243
30950000 -1347715.1116
31000000 -1347562.1261
31050000 -1347347.7390
31100000 -1348803.0075
31150000 -1347192.3430
31200000 -1347375.6130
31250000 -1347092.9703
31300000 -1345313.7475
31350000 -1347500.2672
31400000 -1347730.6675
31450000 -1347209.2652
31500000 -1346004.4189
31550000 -1346948.2571
31600000 -1347342.3474
31650000 -1347811.7501
31700000 -1347378.3082
31750000 -1346191.3428
31800000 -1347861.5803
31850000 -1347675.3739
31900000 -1346628.8198
31950000 -1348391.4835
32000000 -1346295.1460
32050000 -1347154.6243
32100000 -1347431.9165
32150000 -1346408.2425
32200000 -1347877.8470
32250000 -1347550.2639
32300000 -1349541.1538
32350000 -1347717.2447
32400000 -1347664.7311
32450000 -1347305.4844
32500000 -1346551.2171
32550000 -1346983.2931
32600000 -1348603.4265
32650000 -1348226.7128
32700000 -1347119.3810
32750000 -1347449.4221
32800000 -1347184.2550
32850000 -1346357.1140
32900000 -1347585.9808
32950000 -1347861.0666
33000000 -1348290.4982
33050000 -1348084.8944
33100000 -1347896.0940
33150000 -1346615.0356
33200000 -1346842.6759
33250000 -1348220.9832
33300000 -1347690.9096
33350000 -1346892.6984
33400000 -1348505.3058
33450000 -1347641.7598
33500000 -1348352.9759
33550000 -1347980.3340
33600000 -1347345.3238
33650000 -1348616.4908
33700000 -1347526.9694
33750000 -1348472.8487
33800000 -1348239.4812
33850000 -1348150.8888
33900000 -1347071.9858
33950000 -1347758.3843
34000000 -1346041.0581
34050000 -1347630.0236
34100000 -1347785.0615
34150000 -1347292.6541
34200000 -1346847.0956
34250000 -1347187.3696
34300000 -1347615.8679
34350000 -1348176.3653
34400000 -1348638.4008
34450000 -1347832.7105
34500000 -1347266.1418
34550000 -1347774.3425
34600000 -1348708.2865
34650000 -1347354.8803
34700000 -1346565.4953
34750000 -1348893.9276
34800000 -1347852.7005
34850000 -1348968.6435
34900000 -1348448.2071
34950000 -1347144.2744
35000000 -1346918.9179
35050000 -1347700.2266
35100000 -1345878.9003
35150000 -1347935.5233
35200000 -1347328.0275
35250000 -1347783.2254
35300000 -1345787.2071
35350000 -1348405.4302
35400000 -1347332.2381
35450000 -1345981.5658
35500000 -1348670.9535
35550000 -1347051.7591
35600000 -1347422.3314
35650000 -1348482.0205
35700000 -1347128.4352
35750000 -1347487.7130
35800000 -1347036.6855
35850000 -1346969.5856
35900000 -1345755.3112
35950000 -1348040.5514
36000000 -1348058.3588
36050000 -1347826.3196
36100000 -1348042.1745
36150000 -1348263.1015
36200000 -1346538.3423
36250000 -1348383.0015
36300000 -1347085.3086
36350000 -1348785.5192
36400000 -1346642.9689
36450000 -1346400.0045
36500000 -1347194.8112
36550000 -1349198.6978
36600000 -1347057.6439
36650000 -1347758.3227
36700000 -1348601.3328
36750000 -1347939.8793
36800000 -1347775.1073
36850000 -1348231.4548
36900000 -1347410.9726
36950000 -1347062.7645
37000000 -1347613.9376
37050000 -1348275.0319
37100000 -1346675.8906
37150000 -1345455.1922
37200000 -1347414.0540
37250000 -1347263.0091
37300000 -1346793.0989
37350000 -1348786.7808
37400000 -1347402.3677
37450000 -1347942.1097
37500000 -1346706.7263
37550000 -1349294.9207
37600000 -1347495.5245
37650000 -1347368.9157
37700000 -1346579.6264
37750000 -1347414.0565
