TS EVdW(kcal/mol)
44600000 82324.4654
44650000 81298.0275
44700000 82400.9419
44750000 81482.0697
44800000 81767.3693
44850000 81183.3921
44900000 80893.7553
44950000 82237.3874
45000000 81799.2294
45050000 81468.9347
45100000 81623.6302
45150000 81640.5818
45200000 80872.8587
45250000 81960.2658
45300000 80779.4298
45350000 82735.4774
45400000 82744.6008
45450000 81460.2737
45500000 81936.2102
45550000 82859.3648
45600000 82973.1177
45650000 81457.5841
45700000 82507.0591
45750000 81501.4974
45800000 82437.0834
45850000 81524.1058
45900000 81935.5786
45950000 80793.4567
46000000 81687.2057
46050000 81994.0227
46100000 80623.0518
46150000 81764.0356
46200000 81834.2364
46250000 82141.5249
46300000 82218.2337
46350000 81542.6656
46400000 82065.9081
46450000 81800.8789
46500000 82883.4450
46550000 81680.7645
46600000 81943.3195
46650000 80778.3766
46700000 82023.1402
46750000 81972.8481
46800000 81763.7994
46850000 81874.2348
46900000 81596.4509
46950000 81619.4495
47000000 82260.1447
47050000 81829.9525
47100000 81252.4319
47150000 81558.1118
47200000 82409.3758
47250000 82145.8872
47300000 81826.5331
47350000 81585.7276
47400000 82918.9488
47450000 82920.1483
47500000 82290.8194
47550000 81194.2126
47600000 82073.7199
47650000 82458.9559
47700000 82340.0246
47750000 82202.8998
47800000 81590.4937
47850000 81179.6528
47900000 81298.5338
47950000 82213.2267
48000000 80756.6928
48050000 81761.5937
48100000 82146.6330
48150000 82010.3942
48200000 80848.2410
48250000 81415.6892
48300000 81932.2871
48350000 82136.4074
48400000 81455.8385
48450000 82043.5706
48500000 81637.5452
48550000 81796.5226
48600000 81191.1672
48650000 81905.3717
48700000 81014.3509
48750000 82412.8811
48800000 81645.3566
48850000 81315.1044
48900000 82467.4686
48950000 81871.7196
49000000 81364.6530
49050000 82443.2256
49100000 82041.2165
49150000 82096.5651
49200000 82552.4161
49250000 81307.2675
49300000 81059.2253
49350000 82799.4902
49400000 81155.8161
49450000 81641.5701
49500000 81709.4402
49550000 82753.8119
49600000 81274.0551
49650000 82264.9983
49700000 81983.0255
49750000 80841.2298
49800000 82111.6951
49850000 81597.8826
49900000 81802.8289
49950000 81853.9813
50000000 81327.0722
