TS EVdW(kcal/mol)
49450000 71446.4685
49500000 71728.7143
49550000 71651.8048
49600000 70837.2181
49650000 71104.2942
49700000 71385.1349
49750000 71120.7027
49800000 71273.2625
49850000 71738.4699
49900000 71627.0176
49950000 71084.2373
50000000 71106.0565
