TS	2_bonds	no_bonds	303_350
12150000	-1346454.5547	-1237430.5001	-1344236.1454
12200000	-1346712.3823	-1236642.3180	-1342986.9050
12250000	-1348738.7745	-1236775.8703	-1344357.4090
12300000	-1347700.8958	-1237038.5680	-1344078.7044
12350000	-1347766.3565	-1235236.4035	-1343257.4872
12400000	-1347144.6452	-1236519.9975	-1344310.2974
12450000	-1347395.0891	-1236791.9803	-1343752.9958
12500000	-1346768.0148	-1237087.3566	-1344288.6599
12550000	-1347587.1236	-1237249.7964	-1344377.7980
12600000	-1346963.9962	-1236641.5820	-1343261.8020
12650000	-1346863.8474	-1237867.6414	-1344715.1358
12700000	-1348915.4957	-1237641.7400	-1343092.6084
12750000	-1346478.9172	-1236762.7081	-1343646.0429
12800000	-1348530.4894	-1237885.9617	-1344632.9748
12850000	-1346506.7050	-1236811.6614	-1345257.2382
12900000	-1347459.9008	-1237966.3393	-1343774.7264
12950000	-1347204.4795	-1237006.2662	-1345197.0630
13000000	-1347633.9492	-1236707.5891	-1344156.2614
13050000	-1347387.2632	-1236282.8662	-1344356.7830
13100000	-1347588.7296	-1236175.4257	-1345112.0316
13150000	-1347301.5938	-1237118.9344	-1343757.5545
13200000	-1346793.9034	-1236544.7168	-1343059.7289
13250000	-1348001.1171	-1236505.6552	-1345310.2654
13300000	-1348724.6470	-1236471.2346	-1345471.7184
13350000	-1348056.9879	-1237600.3072	-1344274.0838
13400000	-1346721.3696	-1236699.9363	-1344435.7159
13450000	-1347193.7743	-1236801.3758	-1345800.0010
13500000	-1347148.1703	-1237464.8043	-1344869.2239
13550000	-1346040.3056	-1236218.3341	-1344466.8391
13600000	-1347869.3270	-1238181.1518	-1344235.9807
13650000	-1346760.7203	-1236631.2764	-1344981.8942
13700000	-1348613.4779	-1236711.6881	-1346037.3877
13750000	-1348591.1085	-1237137.1485	-1343813.1277
13800000	-1347580.4230	-1237724.2945	-1343591.8066
13850000	-1348120.0843	-1236156.2900	-1344683.7968
13900000	-1347919.4752	-1236489.4525	-1343712.5246
13950000	-1347053.9082	-1236789.9141	-1343728.6299
14000000	-1346172.0726	-1236175.9380	-1343458.2192
14050000	-1346419.0041	-1236759.8318	-1343719.8266
14100000	-1348336.9496	-1237159.1167	-1344925.8509
14150000	-1347966.3336	-1237375.7799	-1345821.3270
14200000	-1347163.1350	-1237796.9182	-1345609.8703
14250000	-1348647.4283	-1236061.9203	-1344682.1320
14300000	-1347736.9676	-1237657.8707	-1345015.8057
14350000	-1348699.4329	-1236814.2446	-1345262.4890
14400000	-1347605.2634	-1236229.8422	-1345048.1410
14450000	-1347437.6279	-1235804.5596	-1345074.7367
14500000	-1347658.0320	-1237002.2777	-1344663.6539
14550000	-1346236.1057	-1237265.0157	-1344541.6208
14600000	-1346241.1555	-1235761.4960	-1342961.5219
14650000	-1348173.5395	-1235994.4848	-1344238.2910
14700000	-1347159.8201	-1237727.8740	-1345613.2712
14750000	-1348209.5121	-1236799.9226	-1344876.7884
14800000	-1346447.2038	-1235891.3259	-1343923.0565
14850000	-1347316.9655	-1237211.1245	-1345107.5183
14900000	-1346283.9066	-1236911.2803	-1344082.2673
14950000	-1347927.3886	-1236228.4722	-1344670.1881
15000000	-1347005.5831	-1236797.3242	-1344644.4606
15050000	-1346010.1477	-1236272.4347	-1344972.3287
15100000	-1346745.7892	-1235804.4025	-1344177.9991
15150000	-1347442.9067	-1238304.4481	-1344820.7705
15200000	-1348558.0230	-1235801.8351	-1343779.3156
15250000	-1347476.8285	-1236643.6783	-1344987.8074
15300000	-1346393.2647	-1237212.1454	-1343372.3684
15350000	-1350078.9380	-1236874.0219	-1344344.2009
15400000	-1346733.1094	-1235730.7301	-1345621.7482
15450000	-1345991.2790	-1238112.3185	-1343945.0735
15500000	-1346334.5100	-1237221.4643	-1345384.1053
15550000	-1349416.7778	-1236873.6339	-1344850.6782
15600000	-1348030.2431	-1235622.7252	-1345008.5682
15650000	-1346733.8569	-1235728.6950	-1343710.7350
15700000	-1347025.5302	-1236536.4509	-1345410.8441
15750000	-1346086.5961	-1235173.2713	-1345446.5118
15800000	-1347053.9333	-1235186.2274	-1345397.9597
15850000	-1347451.4568	-1236505.6913	-1346502.2822
15900000	-1346586.2977	-1236289.1310	-1344238.8828
15950000	-1347367.3061	-1236379.4488	-1344110.1294
16000000	-1347375.0989	-1236677.6523	-1344115.8962
16050000	-1348322.6510	-1238004.0026	-1343333.7820
16100000	-1347835.1678	-1237255.6472	-1344426.1826
16150000	-1346910.2680	-1236494.3879	-1343436.6133
16200000	-1346763.0832	-1237704.5144	-1344421.7704
16250000	-1346957.3555	-1236431.5805	-1344527.0480
16300000	-1345828.4712	-1236572.5603	-1344188.0630
16350000	-1347189.4705	-1236087.7838	-1343749.7638
16400000	-1347373.3763	-1236600.1914	-1345762.0155
16450000	-1346790.1099	-1236537.7452	-1343961.3523
16500000	-1346550.5615	-1237028.6100	-1343544.6134
16550000	-1347319.8685	-1236426.6767	-1345063.9829
16600000	-1346411.0912	-1236358.9793	-1344440.8162
16650000	-1348117.9386	-1236415.6199	-1344540.4802
16700000	-1348130.6199	-1235938.8493	-1344116.1833
16750000	-1347872.5433	-1235985.7581	-1344185.7268
16800000	-1347242.7189	-1236294.0843	-1344393.5556
16850000	-1347545.6553	-1236872.6668	-1344479.7984
16900000	-1346094.1257	-1235568.9843	-1343401.3262
16950000	-1347975.7088	-1237198.5793	-1344570.0823
17000000	-1348229.5470	-1235198.7210	-1344419.8827
17050000	-1346816.6517	-1235901.3138	-1344066.0783
17100000	-1347806.0920	-1236332.2087	-1344984.2750
17150000	-1347193.7094	-1237026.9316	-1344718.8780
17200000	-1347320.3226	-1237025.0947	-1343384.9638
17250000	-1348079.1875	-1237697.0716	-1345523.0457
17300000	-1348332.0283	-1236426.4835	-1344117.0435
17350000	-1348061.9262	-1236080.0248	-1344309.5087
17400000	-1347209.0318	-1236997.5346	-1345091.3834
17450000	-1346917.9413	-1235591.7179	-1344983.0604
17500000	-1347602.2803	-1236781.4125	-1344392.9168
17550000	-1348287.7783	-1236931.6736	-1343812.7990
17600000	-1347325.0767	-1235693.0806	-1343563.2440
17650000	-1347568.9627	-1236194.0984	-1345238.8282
17700000	-1347166.8899	-1237225.7171	-1343492.8493
17750000	-1347101.0451	-1238333.4002	-1345204.0079
17800000	-1346545.0870	-1235343.3019	-1344441.9934
17850000	-1347388.7021	-1238664.9450	-1343533.7859
17900000	-1346838.5920	-1237701.3218	-1344218.9827
17950000	-1348189.7231	-1236306.4779	-1343990.1279
18000000	-1348933.3648	-1237405.7153	-1345830.2170
18050000	-1347422.8076	-1236571.5296	-1345531.4230
18100000	-1347826.6551	-1236245.7739	-1344284.3409
18150000	-1347661.0677	-1236516.4645	-1345194.5705
18200000	-1346563.8877	-1236969.3503	-1344027.6211
18250000	-1347282.4192	-1236428.8117	-1345067.1903
18300000	-1346124.0646	-1235860.6083	-1344915.4433
18350000	-1347809.1764	-1236845.5158	-1344647.5976
18400000	-1348406.2181	-1237374.9715	-1344225.2914
18450000	-1347434.2281	-1235815.6191	-1343717.8948
18500000	-1347664.6382	-1239007.6202	-1344524.6534
18550000	-1347903.6465	-1237779.5342	-1344190.4380
18600000	-1346999.5685	-1237979.7923	-1345246.0751
18650000	-1347829.5377	-1235647.9427	-1343460.5864
18700000	-1346085.0104	-1237322.3301	-1345983.8472
18750000	-1347856.7441	-1236867.1457	-1344237.1182
18800000	-1346067.0591	-1239081.9081	-1344227.2209
18850000	-1347558.2558	-1237680.2953	-1342127.4334
18900000	-1347713.4184	-1237523.0638	-1344511.1257
18950000	-1347599.9506	-1237152.1796	-1344325.9064
19000000	-1347268.5459	-1237025.0300	-1344334.2483
